,#gens,#Terms,min_deg,max_deg,av_deg,min_deg_of_X1,min_deg_of_X2,min_deg_of_X3,min_deg_of_X4,max_deg_of_X1,max_deg_of_X2,max_deg_of_X3,max_deg_of_X4,av_deg_of_X1,av_deg_of_X2,av_deg_of_X3,av_deg_of_X4,min_lt_deg_of_X1,min_lt_deg_of_X2,min_lt_deg_of_X3,min_lt_deg_of_X4,max_lt_deg_of_X1,max_lt_deg_of_X2,max_lt_deg_of_X3,max_lt_deg_of_X4,av_lt_deg_of_X1,av_lt_deg_of_X2,av_lt_deg_of_X3,av_lt_deg_of_X4,min_terms,max_terms,av_terms,generators_with_X1,generators_with_X2,generators_with_X3,generators_with_X4,generators_with_X1_X2,generators_with_X1_X3,generators_with_X1_X4,generators_with_X1_X3,generators_with_X2_X4,generators_with_X3_X4,generators_with_X1_X2_X3,generators_with_X1_X2_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X3,lt_with_X4,lt_with_X1_X2,lt_with_X1_X3,lt_with_X1_X4,lt_with_X1_X3,lt_with_X2_X4,lt_with_X3_X4,lt_with_X1_X2_X3,lt_with_X1_X2_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X3,terms_with_X4,terms_with_X1_X2,terms_with_X1_X3,terms_with_X1_X4,terms_with_X1_X3,terms_with_X2_X4,terms_with_X3_X4,terms_with_X1_X2_X3,terms_with_X1_X2_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,deg_sum(F),cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,#pure_var_power,#pure_var_power_lt,QS
10,3,15,3,6,4.3,1,2,2,2,3,4,3,3,2.0,3.3,2.3,2.3,0,1,0,0,2,4,2,0,1.0,2.7,0.7,0.0,4,6,5.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,0,2,0,0,1,0,0,0,0,0,0,0,7,9,11,7,4,5,2,5,3,6,2,1,2,2,1,13,0,1,2,0,7,5,3,0,1,0,1
11,4,23,5,6,5.2,2,2,2,2,4,4,5,5,3.0,3.0,3.5,3.5,1,0,0,0,4,4,3,1,2.0,1.8,1.2,0.2,5,7,5.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,3,3,1,3,0,0,3,0,0,0,0,11,10,18,18,5,9,8,7,6,13,5,2,6,3,2,21,1,3,0,0,18,5,0,0,1,0,1
12,2,14,5,5,5.0,4,4,3,1,5,5,3,4,4.5,4.5,3.0,2.5,2,0,0,0,5,2,1,0,3.5,1.0,0.5,0.0,6,8,7.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,9,8,11,7,4,7,5,7,3,6,4,2,4,3,2,10,0,1,0,1,7,5,1,1,2,1,1
13,2,9,3,3,3.0,1,2,1,2,1,3,2,3,1.0,2.5,1.5,2.5,1,2,0,0,1,2,0,0,1.0,2.0,0.0,0.0,4,5,4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,4,4,5,2,2,2,1,1,3,0,0,1,1,0,6,0,0,2,0,5,1,3,0,2,0,1
14,4,20,4,7,5.0,2,2,1,1,3,3,4,5,2.5,2.2,2.8,3.2,1,1,0,0,3,1,3,0,2.2,1.0,1.8,0.0,3,7,5.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,3,0,3,0,0,3,0,0,0,0,13,11,12,12,9,7,6,5,5,6,4,3,2,1,0,20,0,3,1,0,12,6,2,0,2,0,1
15,4,16,4,5,4.5,1,2,1,1,3,4,3,3,2.2,2.8,2.2,2.0,0,0,0,0,3,4,1,0,1.5,2.2,0.8,0.0,2,6,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,0,1,1,0,2,0,0,0,0,0,0,0,10,8,14,9,4,9,5,6,3,8,3,1,5,2,1,18,0,3,1,0,9,6,1,0,0,0,1
16,4,21,4,8,5.8,0,2,2,2,7,6,5,7,3.5,4.0,3.5,4.2,0,1,0,0,4,6,2,0,2.0,3.0,0.8,0.0,3,7,5.2,3,4,4,4,3,3,3,4,4,4,3,3,3,4,3,3,4,2,0,3,2,0,2,0,0,2,0,0,0,0,12,17,12,15,8,6,8,10,11,9,4,4,4,7,2,23,0,2,2,0,15,3,3,0,1,1,1
17,2,8,3,5,4.0,2,0,1,2,3,1,2,3,2.5,0.5,1.5,2.5,2,0,1,0,3,1,1,0,2.5,0.5,1.0,0.0,3,5,4.0,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,7,2,6,5,2,5,4,1,1,3,1,1,2,0,0,8,0,2,0,0,5,3,0,0,0,0,1
18,5,23,3,8,5.2,1,1,1,1,7,5,4,3,3.4,2.6,2.4,2.0,1,0,0,0,7,2,2,1,3.2,1.0,0.8,0.2,3,8,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,4,3,1,3,1,1,3,1,1,1,1,18,19,12,14,14,8,11,11,11,7,7,8,5,6,4,26,1,2,1,1,14,5,3,1,1,1,1
19,2,12,4,4,4.0,1,3,2,2,4,4,2,4,2.5,3.5,2.0,3.0,0,0,0,0,4,4,0,0,2.0,2.0,0.0,0.0,5,7,6.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,4,4,3,2,5,1,2,2,0,1,1,0,8,0,0,1,1,4,4,3,1,3,2,0
20,3,14,3,6,4.3,1,2,1,1,3,2,4,4,2.3,2.0,2.7,2.7,1,0,0,0,3,1,2,2,2.0,0.7,1.0,0.7,3,7,4.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,2,1,1,2,1,1,1,1,8,9,9,7,5,4,4,7,5,3,3,3,1,3,1,13,1,1,0,1,7,6,0,1,3,1,1
21,4,18,4,6,5.0,2,1,1,2,4,4,6,5,2.8,2.8,2.8,3.2,0,1,0,0,4,4,1,1,2.2,2.0,0.5,0.2,2,6,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,1,3,1,1,2,1,1,1,1,1,1,1,10,12,11,9,6,6,4,6,6,5,2,2,3,3,1,20,1,1,2,0,9,6,3,0,2,0,1
22,4,18,4,5,4.5,1,1,2,0,4,4,4,4,2.8,2.8,2.8,2.0,1,0,0,0,4,3,2,0,2.5,1.0,1.0,0.0,2,8,4.5,4,4,4,3,4,4,3,4,3,3,4,3,3,3,3,4,2,3,0,2,3,0,1,0,0,1,0,0,0,0,9,13,11,10,6,6,3,6,7,4,3,2,1,1,0,18,0,3,1,0,10,7,1,0,0,0,1
23,2,15,3,3,3.0,3,2,2,2,3,2,2,3,3.0,2.0,2.0,2.5,3,0,0,0,3,0,0,0,3.0,0.0,0.0,0.0,6,9,7.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,9,3,2,3,4,4,4,1,1,1,1,0,6,0,0,0,2,9,3,1,2,3,2,1
24,4,16,3,7,4.5,2,0,1,1,4,5,4,4,2.5,1.8,2.8,2.2,1,0,0,0,4,1,2,1,2.2,0.8,1.2,0.2,2,6,4.0,4,3,4,4,3,4,4,3,3,4,3,3,4,3,3,4,3,3,1,3,3,1,3,0,0,3,0,0,0,0,12,9,14,9,6,10,8,8,4,7,5,3,6,3,2,18,1,3,0,0,9,7,0,0,1,0,1
25,3,12,3,3,3.0,1,1,1,1,2,2,2,3,1.3,1.3,1.3,1.7,1,1,0,0,2,2,1,0,1.3,1.3,0.3,0.0,3,5,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,1,0,0,1,0,0,0,0,7,9,7,7,5,3,3,6,4,4,2,1,1,3,0,9,0,1,2,0,7,3,2,0,1,0,1
26,2,11,3,4,3.5,2,1,2,1,3,3,4,1,2.5,2.0,3.0,1.0,2,1,0,0,2,2,0,0,2.0,1.5,0.0,0.0,5,6,5.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,6,7,5,4,3,3,3,2,3,1,1,1,1,0,7,0,0,2,0,5,4,2,0,1,0,1
27,4,21,3,6,4.2,1,2,1,2,4,3,4,4,2.8,2.5,2.5,3.0,1,1,0,0,4,3,1,0,2.0,1.8,0.5,0.0,4,6,5.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,4,2,0,2,0,0,2,0,0,0,0,13,13,12,11,7,6,5,8,6,4,3,2,0,3,0,17,0,2,2,0,11,8,2,0,1,0,1
28,2,6,4,6,5.0,1,2,3,3,2,3,4,5,1.5,2.5,3.5,4.0,0,2,0,0,2,3,3,0,1.0,2.5,1.5,0.0,3,3,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,2,4,4,3,2,1,1,2,2,2,1,1,1,1,1,10,0,1,1,0,3,2,1,0,1,0,1
29,3,15,3,5,4.3,1,1,2,1,4,4,4,2,2.7,3.0,2.7,1.3,1,0,0,0,4,2,1,1,2.3,1.0,0.7,0.3,4,6,5.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,1,0,1,1,0,1,0,0,9,9,8,12,5,5,6,3,7,6,2,3,3,2,1,13,1,1,1,0,12,2,1,0,0,0,1
30,2,9,4,5,4.5,3,1,3,1,4,3,3,4,3.5,2.0,3.0,2.5,3,0,1,0,4,0,1,0,3.5,0.0,1.0,0.0,4,5,4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,6,4,7,5,2,4,4,3,2,3,1,2,2,1,1,9,0,2,0,0,5,4,0,0,0,0,1
31,5,23,3,5,4.0,1,1,1,2,3,4,4,4,2.0,2.4,2.0,2.6,1,0,0,0,3,4,1,0,1.6,1.8,0.6,0.0,2,6,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,0,3,3,0,1,0,0,1,0,0,0,0,14,16,14,11,9,8,5,8,8,4,4,4,1,2,1,20,0,3,2,0,11,10,2,0,0,0,1
32,3,15,3,9,5.3,2,1,2,1,4,7,4,7,2.7,3.3,3.3,3.3,2,1,0,0,2,7,0,0,2.0,3.3,0.0,0.0,4,7,5.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,11,9,9,10,7,8,7,7,6,6,6,5,6,5,16,0,0,3,0,9,3,3,0,1,0,1
33,3,10,3,5,4.0,1,0,0,2,3,3,2,3,2.3,1.3,1.3,2.7,1,0,0,0,3,1,2,1,2.3,0.7,0.7,0.3,2,5,3.3,3,2,2,3,2,2,3,1,2,2,1,2,2,1,1,3,2,1,1,2,1,1,0,1,0,0,1,0,0,0,4,5,3,8,2,1,2,0,4,2,0,1,0,0,0,12,1,1,1,0,8,1,1,0,1,0,1
34,2,4,5,5,5.0,2,1,3,0,2,2,3,2,2.0,1.5,3.0,1.0,0,1,1,0,2,2,3,1,1.0,1.5,2.0,0.5,2,2,2.0,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,0,2,1,1,1,0,0,1,0,3,4,3,2,3,2,1,3,2,1,2,1,0,1,0,10,1,1,0,0,2,2,0,0,0,0,1
35,7,33,3,6,4.3,0,0,1,1,4,3,5,4,1.7,1.6,2.7,2.9,0,0,0,0,4,2,5,0,1.4,0.7,2.1,0.0,2,9,4.7,5,5,7,7,4,5,5,5,5,7,4,4,5,5,4,3,3,6,0,1,2,0,2,0,0,0,0,0,0,0,15,17,22,22,8,8,8,9,11,14,3,4,4,6,2,30,0,6,1,0,22,8,3,0,3,2,1
36,3,11,4,5,4.3,1,2,0,1,4,4,3,3,2.7,2.7,1.7,2.0,1,0,0,0,4,2,2,1,2.7,0.7,0.7,0.3,3,4,3.7,3,3,2,3,3,2,3,2,3,2,2,3,2,2,2,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,7,6,6,7,3,3,4,4,3,3,2,1,1,1,0,13,1,1,0,1,7,3,0,1,1,1,1
37,3,13,3,6,4.3,1,2,1,1,4,6,4,2,2.3,3.3,2.7,1.3,0,1,0,0,2,6,0,1,1.0,3.0,0.0,0.3,4,5,4.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,1,2,0,1,0,1,0,0,1,0,0,0,7,11,8,7,6,4,4,6,5,4,3,3,2,2,1,13,1,0,2,0,7,4,2,0,1,1,1
38,5,22,3,6,4.2,1,1,2,1,3,5,4,3,2.2,2.4,3.0,2.4,1,0,0,0,3,5,4,0,1.8,1.2,1.2,0.0,2,6,4.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,0,2,2,0,0,0,0,0,0,0,0,0,11,10,13,12,4,4,5,5,4,7,0,1,2,2,0,21,0,2,2,1,12,6,3,1,3,1,1
39,5,20,3,7,4.4,1,1,2,1,3,4,5,3,2.2,2.0,3.2,2.0,0,0,1,0,3,3,3,0,1.2,1.2,2.0,0.0,4,4,4.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,0,2,4,0,3,0,0,2,0,0,0,0,14,9,14,10,5,8,8,7,3,4,3,2,2,1,0,22,0,5,0,0,10,10,0,0,1,0,1
40,2,11,4,5,4.5,3,2,3,1,4,3,3,3,3.5,2.5,3.0,2.0,0,0,1,0,3,3,2,0,1.5,1.5,1.5,0.0,5,6,5.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,7,5,8,6,2,4,5,4,1,3,1,1,2,0,0,9,0,2,0,0,6,5,0,0,0,0,1
41,4,15,4,6,5.0,1,1,2,3,2,3,5,5,1.5,1.8,3.2,3.8,1,0,0,0,2,3,5,0,1.5,1.0,2.5,0.0,3,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,0,2,3,0,1,0,0,1,0,0,0,0,10,8,11,10,4,7,5,6,5,7,2,1,3,4,0,20,0,3,1,0,10,4,1,0,1,0,1
42,3,17,3,5,4.0,2,2,3,0,4,3,3,3,3.0,2.3,3.0,1.7,2,0,0,0,4,2,1,0,3.0,0.7,0.3,0.0,3,8,5.7,3,3,3,2,3,3,2,3,2,2,3,2,2,2,2,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,10,9,10,5,6,4,2,6,1,2,3,1,0,0,0,12,0,1,0,2,5,8,2,2,4,2,1
43,4,16,3,7,5.0,0,2,1,1,3,4,5,6,1.8,2.8,2.8,3.2,0,0,0,0,3,3,5,2,1.0,1.8,1.5,0.8,2,7,4.0,3,4,4,4,3,3,3,4,4,4,3,3,3,4,3,2,3,2,2,2,0,0,1,1,2,0,0,0,1,0,10,9,9,10,6,6,4,3,5,5,2,2,2,1,0,20,2,0,2,0,10,4,2,0,1,0,1
44,2,12,3,4,3.5,3,2,2,2,3,3,2,2,3.0,2.5,2.0,2.0,3,0,0,0,3,0,1,0,3.0,0.0,0.5,0.0,6,6,6.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,3,7,7,1,4,5,1,1,4,0,1,2,0,0,7,0,1,0,1,7,3,1,1,2,1,1
45,3,13,4,6,5.0,0,0,2,1,4,5,3,4,2.3,2.3,2.7,2.7,0,0,0,0,3,5,2,2,1.0,2.3,1.0,0.7,2,7,4.3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2,1,1,0,0,1,0,1,0,0,0,0,0,7,8,11,9,5,5,4,6,4,8,3,2,3,3,1,15,1,1,1,0,9,3,1,0,0,0,1
46,5,18,4,8,5.6,0,1,1,3,7,4,3,6,2.8,2.4,2.2,3.8,0,0,0,0,7,4,3,1,2.6,2.0,0.6,0.4,2,6,3.6,4,5,5,5,4,4,4,5,5,5,4,4,4,5,4,3,4,1,2,2,1,0,1,2,0,1,0,0,0,0,9,12,11,14,4,6,6,6,9,9,2,2,5,4,1,28,2,1,1,1,14,2,1,1,1,1,1
47,4,13,3,6,4.5,0,1,1,3,4,4,3,3,1.2,2.2,1.8,3.0,0,0,0,0,4,4,3,2,1.0,2.0,1.0,0.5,2,4,3.2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,2,1,3,2,1,0,1,0,1,1,0,0,0,0,0,0,4,7,7,10,1,3,3,2,5,5,0,1,2,1,0,18,1,2,1,0,10,2,1,0,2,1,1
48,4,19,3,8,5.8,1,2,2,2,4,4,8,6,2.5,3.0,3.8,3.8,0,0,1,0,3,3,3,2,1.2,2.0,2.0,0.5,3,6,4.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,1,1,2,0,3,1,1,1,0,0,1,0,14,11,12,12,7,8,10,8,7,5,5,5,4,4,3,23,1,3,0,0,12,7,0,0,1,0,1
49,4,13,3,5,4.2,1,2,1,1,2,4,3,2,1.8,3.2,1.8,1.5,1,1,0,0,2,4,1,1,1.5,2.2,0.2,0.2,2,5,3.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,9,11,7,8,7,5,5,5,7,6,3,4,4,5,3,17,1,0,3,0,8,1,4,0,1,0,1
50,4,15,4,5,4.8,2,1,2,0,3,3,4,3,2.2,2.2,3.0,1.8,1,0,1,0,3,3,2,0,1.8,1.2,1.8,0.0,2,5,3.8,4,4,4,3,4,4,3,4,3,3,4,3,3,3,3,4,2,4,0,2,4,0,2,0,0,2,0,0,0,0,11,9,12,8,6,8,6,7,4,5,4,3,3,2,1,19,0,4,0,0,8,7,0,0,0,0,1
51,5,20,3,6,4.0,2,1,0,1,6,3,4,3,2.8,1.6,1.4,2.0,2,0,0,0,6,2,1,1,2.8,0.6,0.2,0.4,3,7,4.0,5,5,4,5,5,4,5,4,5,4,4,5,4,4,4,5,2,1,2,2,1,2,0,1,0,0,1,0,0,0,13,13,6,15,6,3,9,4,10,3,1,4,1,2,0,20,2,1,1,1,15,3,1,1,1,1,1
52,4,17,4,7,5.2,1,2,2,1,5,3,5,2,3.5,2.8,3.5,1.5,1,0,0,0,4,3,3,1,2.8,1.0,1.0,0.5,2,6,4.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,2,1,1,2,1,1,14,11,12,10,9,9,7,8,6,9,6,4,6,6,4,21,2,0,1,1,10,3,3,1,1,1,1
53,3,9,4,5,4.7,0,2,2,1,2,4,2,4,1.0,2.7,2.0,2.7,0,2,0,0,2,4,1,2,1.0,2.7,0.3,0.7,2,4,3.0,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,3,1,1,2,0,0,1,1,1,0,0,0,1,0,4,7,5,6,3,1,1,4,4,4,1,0,0,3,0,14,1,0,2,0,6,1,2,0,0,0,1
54,2,7,3,3,3.0,1,1,1,1,1,2,2,3,1.0,1.5,1.5,2.0,1,0,1,0,1,1,2,0,1.0,0.5,1.5,0.0,2,5,3.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,4,4,4,4,2,3,2,2,2,1,1,1,1,0,0,6,0,2,0,0,4,3,0,0,1,0,1
55,8,25,3,6,4.2,0,0,1,0,4,3,3,4,1.5,2.0,2.0,2.0,0,0,0,0,4,3,3,3,1.1,1.6,0.9,0.6,2,4,3.1,6,7,8,6,5,6,4,7,5,6,5,3,4,5,3,5,6,4,3,3,2,2,3,2,3,1,1,2,2,1,13,13,17,14,7,7,5,9,4,11,4,1,3,4,1,34,3,1,3,1,14,6,4,1,3,2,1
56,3,12,4,5,4.7,2,1,1,1,4,4,4,4,3.0,2.0,3.0,2.3,0,0,0,0,4,4,1,0,2.3,1.7,0.7,0.0,3,5,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,1,2,0,1,0,0,1,0,0,0,0,7,6,10,6,4,6,4,4,3,5,3,3,3,2,2,14,0,2,1,0,6,5,1,0,2,1,1
57,2,10,5,7,6.0,3,3,1,5,6,4,3,7,4.5,3.5,2.0,6.0,2,0,0,0,6,3,1,0,4.0,1.5,0.5,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7,4,4,6,3,3,4,1,2,1,0,2,1,0,0,12,0,1,1,0,6,3,1,0,2,0,1
58,4,19,4,4,4.0,2,2,2,1,3,4,3,3,2.2,3.5,2.2,2.2,0,1,0,0,3,4,1,0,1.0,2.8,0.2,0.0,3,6,4.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,0,2,1,0,1,0,0,1,0,0,0,0,12,14,11,7,8,8,4,8,4,3,6,2,1,2,1,16,0,1,3,0,7,8,4,0,3,2,1
59,2,10,4,5,4.5,2,2,2,2,4,5,2,4,3.0,3.5,2.0,3.0,2,1,0,0,4,2,0,0,3.0,1.5,0.0,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,8,4,4,5,2,3,3,3,1,1,2,0,1,0,9,0,0,2,0,4,3,3,0,1,0,1
