,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]",output
12,2,8,3,7,5.0,3,5,4.0,10,2,0,2,1,2,2,4,3,3,3,3.0,2.0,2.5,2.5,2,1,0,0,2,3,2,0,2.0,2.0,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,4,3,5,3,2,2,5,2,2,1,3,2,1,1,1,1,3,0,0,0,2
13,6,22,3,6,4.5,2,5,3.7,27,3,1,0,1,0,0,5,6,5,4,2.2,3.0,2.0,2.2,0,1,0,0,5,5,4,0,1.8,1.7,1.0,0.0,4,6,4,5,3,5,3,5,4,5,4,4,3,4,3,3,6,3,2,0,2,0,0,0,0,0,0,0,0,0,11,17,8,8,1,6,1,14,8,10,5,5,1,4,1,2,1,0,15,0,0,4
14,3,10,4,5,4.7,3,4,3.3,14,0,0,2,2,3,1,3,4,4,2,2.3,2.7,3.3,1.3,2,1,0,0,3,2,1,1,2.3,1.3,0.7,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,8,4,7,2,5,2,6,2,4,2,3,0,1,0,0,4,4,5,5,7,5
15,4,10,3,5,4.2,2,3,2.5,17,1,0,0,0,1,0,4,3,4,1,1.8,1.8,2.5,0.5,0,0,0,0,2,3,3,1,1.2,1.2,1.5,0.2,3,3,2,4,3,3,2,2,1,1,0,2,1,1,0,3,2,1,3,2,1,0,1,1,0,0,1,1,0,0,5,4,2,9,4,3,1,3,1,0,0,3,1,0,0,1,6,5,0,0,0,2
16,3,9,3,4,3.7,2,5,3.0,11,1,1,2,0,1,1,3,2,4,2,2.3,0.7,2.3,1.7,0,0,0,0,2,2,4,0,1.3,0.7,1.7,0.0,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,6,4,3,5,2,2,1,4,3,1,1,1,0,0,0,1,3,3,4,5,0,4
18,4,18,3,4,3.5,2,6,4.5,14,4,3,1,2,1,0,3,4,2,2,2.0,3.2,1.2,1.2,0,0,0,0,3,4,0,0,1.2,2.2,0.0,0.0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,8,4,4,2,10,5,4,1,5,1,2,0,0,0,0,0,0,20,6
20,3,10,3,7,5.3,3,4,3.3,16,0,0,1,1,2,2,2,3,3,6,1.3,2.0,2.7,4.0,1,0,1,0,2,3,3,1,1.3,1.7,2.0,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,1,1,1,1,1,1,1,5,7,3,8,4,5,2,6,3,4,2,4,2,2,1,0,3,3,13,14,11,2
21,2,6,4,4,4.0,2,4,3.0,8,1,1,1,1,1,2,1,4,1,3,1.0,2.5,1.0,2.5,0,0,0,0,1,4,1,2,0.5,2.0,0.5,1.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,4,0,3,1,2,0,4,2,2,0,2,1,1,0,1,0,0,1,0,1,4
22,2,9,3,4,3.5,4,5,4.5,7,3,1,2,1,3,2,3,3,3,3,2.5,2.0,3.0,2.5,0,1,0,0,3,3,0,0,1.5,2.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,4,2,1,0,4,3,1,1,1,1,0,0,2,1,0,0,0,0,4
23,4,13,3,5,4.0,2,5,3.2,16,2,0,2,1,1,1,3,2,1,4,2.2,1.2,1.0,2.8,2,1,0,0,3,1,1,1,2.2,1.0,0.5,0.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,10,7,6,5,4,4,3,9,6,3,2,3,2,2,1,1,0,1,9,14,16,4
24,3,17,4,6,4.7,2,9,5.7,14,2,1,1,3,0,0,4,5,3,4,3.0,3.7,1.7,2.3,1,0,0,0,4,3,0,0,2.7,2.0,0.0,0.0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,11,8,7,5,4,2,11,8,6,4,5,4,2,1,0,0,1,0,1,16,5
25,3,14,4,7,5.7,3,6,4.7,17,0,0,1,3,1,2,5,4,5,4,2.7,3.3,2.7,3.0,0,1,0,0,5,4,3,0,2.0,2.7,1.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,11,8,6,9,6,3,1,8,7,4,4,5,4,1,1,2,2,2,4,3,6,2
26,5,24,4,6,5.4,3,9,4.8,27,1,1,1,2,2,2,4,6,5,4,1.8,3.4,3.0,3.0,0,2,0,0,2,6,2,1,0.6,3.4,1.2,0.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,4,2,4,2,1,0,1,0,1,0,1,0,12,16,8,21,10,14,7,16,7,10,5,14,5,9,4,1,5,0,36,0,6,4
27,3,15,3,8,5.0,4,6,5.0,15,1,1,2,3,2,1,5,5,4,4,3.3,3.7,2.7,2.3,0,0,0,0,5,3,1,1,2.7,1.7,0.3,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,10,8,4,10,7,5,3,10,8,3,2,6,5,1,1,1,2,0,5,0,13,4
28,3,9,3,7,4.7,2,4,3.0,14,1,1,3,0,1,1,3,3,3,4,3.0,1.7,2.0,2.0,3,0,0,0,3,1,1,3,3.0,0.3,0.3,1.0,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,1,1,1,1,0,0,1,1,0,0,1,1,0,0,5,4,2,5,2,1,0,5,2,1,0,4,2,0,0,0,0,1,0,1,8,5
29,2,12,3,6,4.5,5,7,6.0,9,3,1,3,3,2,3,3,3,4,3,3.0,3.0,3.0,3.0,1,0,0,0,3,3,2,0,2.0,1.5,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6,7,3,7,3,5,2,5,2,2,1,3,1,2,1,0,0,2,0,0,0,5
30,4,18,3,7,4.5,3,7,4.5,18,3,1,1,0,1,1,3,5,7,5,2.0,2.8,3.0,2.8,0,0,0,0,3,5,1,1,1.2,2.2,0.8,0.2,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,3,2,3,3,2,2,1,1,0,0,1,1,0,0,7,11,4,12,5,7,3,11,4,6,2,6,2,3,1,1,8,0,16,0,0,4
31,3,8,3,4,3.7,2,3,2.7,11,3,1,1,0,1,0,4,2,3,4,2.0,1.0,2.0,2.3,0,0,0,0,4,2,3,0,1.7,0.7,1.3,0.0,3,2,2,3,3,2,2,2,2,1,1,2,2,1,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,4,3,1,4,2,2,0,4,2,1,1,1,1,0,0,0,0,2,0,6,4,5
32,4,16,4,6,5.0,3,6,4.0,20,0,0,2,1,1,2,5,3,2,4,3.5,2.2,1.5,2.8,1,1,0,0,5,3,1,0,3.2,1.5,0.2,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,0,0,0,0,0,0,0,13,12,10,10,7,7,5,7,4,4,2,5,2,3,1,3,2,0,5,17,43,4
34,4,16,3,4,3.8,3,5,4.0,15,2,0,1,1,1,1,3,4,2,3,1.8,2.8,1.5,2.0,0,1,0,0,3,3,2,0,1.5,1.5,0.8,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,1,2,1,0,0,0,0,0,0,0,0,9,12,6,9,4,6,2,8,4,5,2,6,2,4,1,3,3,0,1,0,13,4
35,2,10,3,3,3.0,4,6,5.0,6,3,0,1,1,3,1,2,2,3,3,1.5,1.5,3.0,2.0,1,1,0,0,2,2,0,0,1.5,1.5,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,3,1,1,4,2,2,1,1,1,0,0,2,1,1,0,0,0,4
36,4,17,3,5,3.8,3,5,4.2,15,1,0,1,0,1,2,2,3,4,4,1.2,2.0,2.5,2.8,0,0,0,0,1,3,2,1,0.5,1.8,1.2,0.2,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,2,3,1,3,1,2,0,1,1,0,0,1,1,0,0,8,9,4,8,2,3,0,13,7,5,3,5,2,0,0,1,1,1,18,11,10,4
37,3,12,3,4,3.7,2,7,4.0,11,1,1,1,1,2,1,4,3,2,2,2.0,2.0,2.0,1.7,0,0,0,0,4,2,2,1,1.7,1.0,0.7,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,0,1,0,1,1,1,1,0,0,0,0,8,5,3,8,5,2,1,7,4,2,1,5,3,0,0,0,0,1,0,2,2,5
38,3,10,4,5,4.3,3,4,3.3,13,0,0,1,1,0,1,4,3,2,4,2.7,2.0,1.3,2.0,1,1,0,0,4,2,1,0,2.7,1.3,0.3,0.0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,8,6,4,4,2,3,1,6,5,2,1,2,1,1,0,1,0,2,4,2,8,4
39,4,13,3,4,3.8,2,4,3.2,15,2,2,1,0,0,1,3,3,4,2,2.5,1.0,2.0,1.8,0,0,0,0,3,3,4,1,1.8,0.8,1.0,0.2,4,2,2,3,3,1,1,4,4,2,2,3,3,1,1,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,7,3,2,6,1,0,0,10,5,2,1,5,1,0,0,0,0,1,0,8,0,5
40,3,13,3,7,4.7,3,6,4.3,14,2,1,1,2,3,0,4,4,4,6,2.0,3.3,3.3,2.7,0,1,0,0,4,4,2,0,1.7,2.3,0.7,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,8,6,4,8,5,2,2,7,4,2,1,4,2,0,0,2,6,0,8,0,0,4
41,4,18,3,5,3.8,3,6,4.5,15,3,1,2,1,2,0,3,4,3,3,2.2,2.8,2.8,1.5,0,1,0,0,3,3,0,0,1.8,2.0,0.0,0.0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,8,11,4,9,2,4,0,7,3,4,1,2,0,1,0,2,3,0,7,0,0,4
42,3,18,3,5,3.7,4,8,6.0,11,4,0,2,1,2,2,4,2,5,3,2.7,1.7,3.3,2.7,0,1,0,0,3,2,1,0,1.7,1.7,0.3,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,10,7,4,11,5,5,2,7,4,0,0,2,1,0,0,1,4,5,4,2,0,2
43,3,16,3,5,4.0,2,8,5.3,12,3,2,2,1,2,0,4,5,2,3,2.7,3.3,2.0,2.0,0,0,0,0,4,5,1,0,2.0,1.7,0.3,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,1,10,6,4,1,8,4,3,0,5,3,1,0,0,0,0,0,0,5,6
44,4,16,4,5,4.5,3,6,4.0,18,1,1,2,2,1,1,4,4,3,3,2.5,3.5,2.0,2.2,0,0,0,0,4,4,1,0,1.5,2.2,0.8,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,3,2,2,1,0,0,0,0,0,0,0,0,8,9,3,12,6,6,2,9,3,5,1,6,1,3,0,1,4,0,8,0,22,4
45,2,9,5,5,5.0,4,5,4.5,10,0,0,3,2,2,1,4,3,3,2,3.5,2.5,2.5,1.5,3,1,1,0,3,1,1,0,3.0,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,9,5,5,7,7,4,4,5,5,2,2,3,3,1,1,0,3,3,1,1,0,2
46,4,20,3,6,4.8,2,8,5.0,19,1,1,2,1,2,0,5,4,3,4,3.2,2.8,2.2,2.8,1,0,0,0,5,3,1,1,3.0,1.0,0.5,0.2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,16,11,7,10,7,6,3,13,10,8,5,5,3,4,2,0,0,6,0,10,7,5
47,6,27,3,9,4.8,3,6,4.5,29,2,1,1,0,1,1,4,5,4,4,2.5,2.2,3.2,2.3,0,0,0,0,3,5,2,1,1.5,2.2,1.0,0.2,6,5,5,6,6,5,5,6,6,5,5,6,6,5,5,4,5,3,4,3,3,2,1,1,1,1,1,1,1,1,16,14,8,21,12,9,5,17,10,9,6,13,7,6,4,2,2,0,8,0,0,4
48,3,9,4,5,4.3,2,4,3.0,13,2,1,1,1,1,0,4,3,3,5,2.7,2.0,2.0,2.3,0,0,0,0,4,2,2,0,2.3,0.7,1.3,0.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,6,1,7,2,6,1,4,1,3,1,3,1,3,1,0,0,3,0,14,2,5
49,3,13,4,5,4.3,4,5,4.3,13,2,1,1,2,1,2,3,5,4,4,1.7,3.3,2.7,2.7,0,1,0,0,3,5,2,0,1.0,2.7,0.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,5,7,3,7,1,2,0,8,4,3,2,4,1,0,0,2,2,0,3,0,0,4
50,4,13,3,8,5.2,2,5,3.2,21,2,0,0,2,1,2,1,3,6,5,0.8,2.5,3.5,3.2,0,1,1,0,1,3,5,1,0.2,2.0,2.8,0.2,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,3,7,1,9,2,5,1,9,3,4,1,5,2,2,1,0,2,2,35,25,0,4
51,2,9,5,5,5.0,4,5,4.5,10,1,1,1,2,3,3,2,5,3,3,1.5,3.5,3.0,3.0,0,2,0,0,2,5,1,0,1.0,3.5,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,3,8,3,7,3,6,3,6,1,5,1,5,1,4,1,1,2,0,2,0,3,1
52,5,29,3,5,4.2,4,9,5.8,21,1,0,2,2,2,2,4,4,5,3,2.4,2.8,2.6,2.6,1,0,0,0,4,3,2,0,2.0,1.8,0.4,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,15,20,9,15,7,7,2,15,4,10,1,7,2,3,0,3,2,6,8,5,0,4
53,4,21,4,6,4.8,5,6,5.2,19,1,1,3,2,2,1,4,4,2,4,3.8,2.8,2.0,2.5,3,0,0,0,4,1,2,0,3.8,0.2,0.8,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,16,15,10,11,8,8,5,11,8,9,6,4,3,4,3,0,0,4,0,12,34,5
54,3,11,3,6,4.3,3,4,3.7,13,1,0,1,1,1,2,3,2,3,3,2.3,1.7,2.3,2.3,0,0,0,0,3,2,3,1,1.0,1.0,1.7,0.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,0,2,0,2,0,2,1,1,0,1,0,1,0,6,6,3,5,1,2,0,9,6,5,3,3,1,1,0,0,1,1,7,5,3,4
55,2,6,3,5,4.0,2,4,3.0,8,2,1,0,3,3,0,2,3,4,2,1.0,3.0,3.5,1.0,0,3,0,0,0,3,2,0,0.0,3.0,1.0,0.0,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,2,4,1,2,1,3,2,2,2,2,1,1,1,1,1,0,0,0,0,2
56,5,18,5,7,6.0,3,6,3.6,30,0,0,2,1,2,1,5,4,5,4,3.6,2.4,3.2,3.0,2,0,0,0,5,3,2,1,3.4,0.8,1.4,0.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,1,1,2,2,0,0,2,2,0,0,13,10,6,13,9,6,3,15,10,8,4,11,7,5,2,1,2,0,7,50,53,4
57,4,22,3,7,4.5,4,8,5.5,18,2,1,1,1,1,0,3,6,5,3,2.2,3.0,3.2,2.0,1,0,0,0,3,5,3,0,2.2,1.5,0.8,0.0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,15,14,10,14,9,7,5,11,6,7,4,9,6,5,4,0,0,4,0,18,0,5
58,2,7,3,4,3.5,3,4,3.5,7,2,2,1,1,3,1,1,4,3,1,1.0,2.5,3.0,1.0,0,0,0,0,0,4,3,0,0.0,2.0,1.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,2,0,0,4,2,1,1,3,1,0,0,1,1,0,0,0,0,2
59,4,15,4,5,4.5,3,5,3.8,18,1,0,1,1,1,1,3,4,2,4,2.0,2.8,1.8,2.8,1,1,0,0,3,3,2,1,1.8,1.5,1.0,0.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,7,13,5,8,4,8,4,9,4,7,2,4,2,4,2,1,1,2,16,5,21,4
60,5,17,3,4,3.6,2,6,3.4,18,2,1,1,0,1,0,3,3,4,2,2.4,1.4,2.2,1.0,1,0,0,0,3,0,3,0,2.4,0.0,1.2,0.0,5,3,3,5,5,3,3,3,3,2,2,3,3,2,2,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,11,6,2,13,9,4,2,6,3,2,0,3,2,0,0,0,0,6,0,7,0,5
61,3,16,5,6,5.3,4,7,5.3,16,1,0,2,2,1,3,4,4,4,6,3.3,3.0,2.7,4.3,1,0,1,0,4,4,3,0,2.0,1.7,1.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,0,0,0,0,0,0,0,0,9,9,5,12,9,6,5,13,6,7,3,9,6,4,3,0,3,3,8,15,11,4
62,3,14,4,6,5.0,3,6,4.7,15,0,0,2,2,2,2,5,5,4,4,3.3,3.0,3.0,2.7,2,0,0,0,5,2,1,0,3.3,1.0,0.7,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,9,10,7,9,5,5,3,7,2,5,2,5,1,3,1,1,2,5,0,6,7,2
63,3,12,3,6,4.7,4,4,4.0,14,2,2,2,1,2,1,5,3,2,5,3.3,1.7,2.0,3.0,0,0,0,0,5,3,0,3,2.7,1.0,0.0,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7,3,1,8,4,2,1,7,3,1,0,5,1,1,0,0,0,0,0,0,9,6
64,5,21,3,5,4.2,3,6,4.2,21,2,1,2,0,1,2,4,3,3,3,3.2,1.6,2.0,2.8,0,0,0,0,4,2,3,0,2.6,0.6,1.0,0.0,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,2,1,3,2,1,0,0,0,0,0,0,0,0,0,12,8,3,14,7,4,0,14,6,6,2,9,3,3,0,0,0,4,0,25,10,5
65,4,12,5,7,5.5,2,4,3.0,22,0,0,0,1,1,0,4,4,3,4,1.5,2.5,2.0,2.2,0,1,0,0,4,4,2,1,1.5,2.5,1.2,0.2,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,2,1,1,1,1,1,1,1,1,9,9,7,11,8,8,6,7,6,4,4,7,6,4,4,1,0,2,10,0,22,1
66,3,9,3,3,3.0,2,4,3.0,9,4,3,0,1,0,1,3,3,1,3,1.0,2.3,0.7,2.0,0,0,0,0,3,3,0,0,1.0,2.0,0.0,0.0,1,3,1,2,1,2,1,3,1,3,1,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,2,0,5,1,3,0,1,0,1,0,0,0,0,0,0,1,6
