,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,0,1,2,3,4,5
7773,2,8,4,6,5.0,2,6,4.0,10,0,0,2,3,3,0,3,3,5,2,2.5,3.0,4.0,1.0,2,2,0,0,3,3,0,0,2.5,2.5,0.0,0.0,2,4,2,0,0,0,2,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,1,5,1,2,0,1,0,2,0,1,0,1,1,2,1,0,4
6717,4,16,4,5,4.2,4,4,4.0,17,3,1,1,1,1,1,5,4,3,4,3.0,2.5,2.0,2.8,0,0,0,0,5,3,1,0,2.2,1.8,0.2,0.0,9,3,3,1,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,10,8,4,7,4,2,0,9,5,4,2,4,2,1,0,0,0,0,0,0,44
2247,3,10,3,4,3.7,2,4,3.3,11,2,1,0,1,1,2,2,4,4,3,1.3,2.7,2.0,2.3,0,1,0,0,2,4,1,0,0.7,2.7,0.3,0.0,5,3,2,0,0,1,2,0,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,7,3,7,1,4,1,5,2,3,2,4,1,2,1,2,2,0,1,0,0
5666,3,11,3,6,4.7,2,5,3.7,14,0,0,2,1,0,1,5,3,3,4,3.3,2.0,1.7,2.3,2,0,0,0,4,1,2,1,3.0,0.7,0.7,0.3,9,1,1,0,1,1,1,0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,1,1,0,0,1,1,1,1,0,0,0,0,10,7,6,3,2,2,1,9,8,6,5,2,1,2,1,1,1,0,1,5,6
6373,4,15,4,6,5.5,3,4,3.8,22,2,2,3,1,1,2,6,4,2,5,4.8,2.2,1.5,3.2,3,0,0,0,6,1,1,0,4.8,0.5,0.2,0.0,10,2,1,2,0,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,12,10,7,7,5,5,3,10,7,7,4,5,3,3,1,0,0,0,0,46,54
6757,4,25,3,8,5.2,4,9,6.2,21,0,0,1,2,1,2,4,4,5,7,3.0,3.0,3.0,4.0,1,0,0,0,3,2,5,0,2.0,1.2,2.0,0.0,18,6,1,0,0,3,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,0,0,0,0,0,0,0,0,17,17,11,10,7,4,3,18,11,13,8,4,2,1,1,1,3,4,17,34,3
5501,3,16,3,3,3.0,5,6,5.3,9,4,2,1,2,1,1,3,3,1,3,1.7,2.7,1.0,2.0,0,0,0,0,3,3,1,0,1.3,1.3,0.3,0.0,10,3,2,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,8,10,4,6,4,4,3,10,4,5,1,3,1,1,0,0,0,0,0,0,6
4344,5,26,4,7,5.2,4,7,5.2,26,3,0,1,1,3,0,3,6,6,4,2.4,3.0,4.4,2.6,0,1,0,0,3,6,3,0,1.4,2.6,1.2,0.0,12,11,3,0,0,3,2,0,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,3,3,1,3,1,0,0,0,0,0,0,0,0,18,15,12,17,10,10,7,12,9,4,4,6,4,2,2,2,3,5,22,12,0
9977,5,21,3,5,4.2,3,6,4.2,21,3,3,1,1,2,0,5,3,4,4,2.4,2.4,2.6,2.0,0,0,0,0,5,3,4,0,2.0,0.8,1.4,0.0,12,7,0,2,0,3,0,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,3,2,2,2,0,0,0,0,0,0,0,0,11,13,7,14,7,9,6,12,5,7,3,7,3,3,2,0,0,4,0,21,0
3584,3,17,3,6,5.0,5,6,5.7,15,1,1,3,1,2,2,3,3,5,4,3.0,2.0,4.0,3.0,3,0,0,0,3,3,2,0,3.0,1.3,0.7,0.0,9,5,2,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,11,12,9,12,6,9,6,9,4,5,3,7,2,4,2,0,0,4,0,4,5
7714,3,16,4,7,5.3,4,6,5.3,16,0,0,3,0,3,2,4,4,4,4,3.7,2.0,3.7,3.0,0,0,0,0,4,4,2,1,2.0,1.7,1.3,0.3,11,3,2,0,1,1,1,0,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,2,1,2,1,1,0,1,0,1,0,1,0,1,0,11,10,6,10,5,6,2,11,6,7,3,7,2,5,1,1,2,2,2,12,7
8340,3,16,4,5,4.7,5,6,5.3,14,0,0,2,2,3,1,4,3,3,4,3.0,2.3,3.0,3.0,0,0,1,0,4,2,3,0,2.0,0.7,2.0,0.0,11,5,0,0,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,11,9,4,10,5,5,0,11,9,6,4,5,3,2,0,0,3,3,6,12,4
9255,2,7,6,7,6.5,3,4,3.5,13,0,0,1,1,4,2,5,2,6,4,3.0,1.5,5.0,3.0,0,1,3,0,1,1,6,1,0.5,1.0,4.5,0.5,6,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,3,5,1,6,2,5,1,6,3,4,1,5,2,4,1,0,1,1,2,2,1
7865,6,32,3,7,5.0,4,7,5.3,30,2,1,2,1,1,2,6,3,4,4,3.3,2.3,2.7,3.2,0,0,0,0,6,2,4,1,2.7,1.0,1.0,0.3,24,6,1,1,2,2,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,3,2,2,1,2,1,2,1,1,0,1,0,19,17,7,20,12,9,3,24,13,12,4,14,8,5,1,0,0,4,0,11,16
2703,4,15,4,7,4.8,2,5,3.8,19,0,0,1,1,3,0,5,4,5,2,2.5,2.5,3.5,1.0,1,1,1,0,5,2,2,0,2.2,1.2,1.2,0.0,7,8,0,0,0,4,0,0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,10,12,8,12,8,9,6,7,5,4,3,4,3,1,1,0,6,6,16,8,10
4930,5,17,4,5,4.4,2,4,3.4,22,2,0,1,0,1,1,3,5,4,4,1.8,2.6,2.6,2.6,0,0,0,0,3,4,3,1,1.6,1.2,1.4,0.2,11,3,3,0,1,2,2,0,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,2,2,3,2,0,0,1,0,0,0,1,0,0,0,9,10,5,8,4,3,1,11,5,6,3,5,2,2,1,3,2,0,15,0,7
9556,3,8,4,6,5.0,2,3,2.7,15,1,0,1,1,1,4,1,3,3,5,1.0,2.0,2.0,4.3,0,0,1,0,1,3,2,3,0.3,1.7,1.7,1.3,6,2,0,0,2,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,0,3,1,2,0,2,1,1,0,2,1,1,0,3,4,0,5,2,3,0,6,3,2,0,3,2,1,0,0,1,1,11,6,11
1849,2,11,3,3,3.0,4,7,5.5,6,1,0,2,2,2,2,2,2,2,3,2.0,2.0,2.0,2.5,1,0,1,0,2,0,2,0,1.5,0.0,1.5,0.0,7,4,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,3,1,6,3,1,0,7,3,2,1,2,0,0,0,0,3,3,1,1,0
2526,2,9,4,6,5.0,3,6,4.5,10,1,1,2,3,2,1,6,3,2,2,4.0,3.0,2.0,1.5,2,0,0,0,6,0,2,0,4.0,0.0,1.0,0.0,5,3,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,5,3,7,5,4,3,5,2,3,1,4,2,2,1,0,0,2,0,3,1
7298,4,18,4,9,6.0,3,6,4.5,24,2,2,1,4,2,1,5,6,6,3,2.8,4.5,3.8,2.5,0,4,0,0,3,5,2,0,1.2,4.2,0.5,0.0,12,3,3,0,0,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,12,14,9,10,6,7,4,12,10,8,7,7,5,4,3,1,3,0,62,0,34
834,5,20,3,4,3.8,2,6,4.0,19,3,2,1,1,0,0,4,3,3,4,2.0,2.4,1.8,2.2,0,0,0,0,4,3,1,1,1.8,1.4,0.4,0.2,12,6,1,1,1,2,1,1,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,2,2,2,2,1,1,1,1,0,0,0,0,9,12,4,11,6,5,2,12,4,7,2,5,2,1,0,0,0,0,0,0,6
6767,3,14,4,5,4.7,3,6,4.7,14,3,1,3,2,1,1,3,5,5,5,3.0,3.7,2.7,3.0,0,2,0,0,2,5,1,0,0.7,3.7,0.3,0.0,6,6,2,0,0,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,8,6,2,7,4,3,1,6,4,1,0,1,1,0,0,2,8,0,1,0,0
6652,4,20,3,4,3.8,4,6,5.0,15,3,1,2,1,1,2,3,3,4,3,2.8,2.0,2.5,2.5,2,0,0,0,3,2,0,0,2.5,1.2,0.0,0.0,12,4,3,1,0,0,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,10,5,8,1,4,0,12,7,4,2,4,1,1,0,0,0,6,0,10,0
51,2,9,5,5,5.0,4,5,4.5,10,1,1,1,2,3,3,2,5,3,3,1.5,3.5,3.0,3.0,0,2,0,0,2,5,1,0,1.0,3.5,0.5,0.0,6,2,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,3,8,3,7,3,6,3,6,1,5,1,5,1,4,1,1,2,0,2,0,3
7858,7,33,3,6,4.6,3,6,4.7,32,5,2,1,1,1,1,4,4,5,5,2.4,2.4,2.9,2.4,1,0,0,0,4,4,4,0,2.1,1.6,0.9,0.0,17,10,4,2,0,3,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,1,1,0,0,0,0,0,0,0,0,23,18,12,19,12,10,5,17,11,9,6,9,6,5,3,0,0,5,0,5,0
4155,4,14,3,5,4.2,2,5,3.5,17,2,1,1,2,1,1,5,3,3,2,2.8,2.5,2.5,1.5,1,0,0,0,5,2,3,1,2.0,1.2,0.8,0.2,9,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,10,9,6,6,4,3,2,9,7,6,4,3,3,1,1,0,0,1,0,11,3
2093,7,25,3,5,4.3,2,5,3.6,30,1,1,1,1,1,1,4,4,4,4,2.0,2.1,2.7,1.9,0,0,0,0,2,3,3,0,1.0,1.4,1.9,0.0,12,12,1,0,0,6,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,2,6,5,3,2,0,0,0,0,0,0,0,0,17,12,7,19,12,9,5,12,8,4,3,7,3,2,1,1,5,0,10,0,9
7966,2,10,4,4,4.0,3,7,5.0,8,0,0,2,3,1,1,3,3,3,3,2.5,3.0,2.0,2.0,2,1,0,0,3,2,0,0,2.5,1.5,0.0,0.0,4,4,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,4,3,2,1,4,3,3,2,0,0,0,0,2,1,2,0,0,0
604,2,8,5,8,6.5,3,5,4.0,13,0,0,3,0,3,1,7,1,4,6,5.0,0.5,3.5,3.5,3,0,0,0,7,0,2,1,5.0,0.0,1.0,0.5,7,1,0,0,1,1,0,0,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7,1,1,7,6,1,1,7,6,1,1,6,5,1,1,0,1,1,2,6,4
2467,4,15,3,7,4.5,2,6,3.8,18,2,1,0,2,0,1,5,6,6,2,2.5,3.5,3.0,1.5,0,0,0,0,3,6,4,0,1.0,2.2,1.2,0.0,7,4,3,1,0,2,1,1,3,4,3,3,2,3,2,4,3,4,3,3,2,3,2,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,5,11,3,7,0,5,0,7,2,4,1,3,0,1,0,0,0,0,0,0,15
2162,3,9,3,6,4.3,2,5,3.0,13,0,0,0,2,0,1,5,4,1,2,2.7,3.0,0.3,1.7,0,1,0,0,5,2,0,1,2.7,1.3,0.0,0.3,5,0,4,0,1,0,2,0,2,3,2,1,1,1,1,3,2,3,2,1,1,1,1,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,7,7,5,1,1,0,0,5,3,3,1,1,1,0,0,3,0,0,4,1,7
7196,2,9,4,4,4.0,4,5,4.5,8,1,0,2,1,0,2,3,2,1,4,2.5,1.5,0.5,3.0,2,0,0,0,3,1,1,1,2.5,0.5,0.5,0.5,8,1,0,0,1,1,0,0,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6,4,2,2,2,1,1,8,5,3,1,1,1,0,0,0,1,1,4,5,5
9527,4,13,4,7,5.5,2,4,3.2,22,0,0,1,1,2,0,4,6,4,3,2.5,3.5,3.2,1.5,1,1,0,0,4,5,2,1,2.0,2.8,0.5,0.2,6,4,3,0,1,1,2,0,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,9,10,6,9,5,6,2,6,3,4,1,5,2,3,0,2,10,5,8,8,0
7002,3,11,3,4,3.3,3,5,3.7,10,0,0,0,1,1,1,2,2,2,2,1.0,1.7,1.3,1.7,0,1,0,0,2,2,2,1,0.7,1.7,0.7,0.3,9,1,1,0,1,1,1,0,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,3,1,1,0,1,0,1,0,1,0,0,0,0,0,4,9,3,5,0,4,0,9,3,7,2,4,0,3,0,1,0,1,4,1,6
5607,4,17,5,7,5.5,2,6,4.2,22,1,1,1,2,2,2,6,5,4,5,3.8,3.2,2.8,2.8,0,0,0,0,6,3,2,0,3.5,1.2,0.8,0.0,9,6,1,1,0,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,13,12,8,8,4,7,3,9,7,6,4,2,0,2,0,0,0,5,0,21,10
4770,3,13,4,5,4.7,3,5,4.3,14,0,0,1,2,2,2,3,3,4,4,2.3,2.3,3.0,3.0,0,2,0,0,3,2,2,1,1.3,2.0,1.0,0.3,8,4,1,0,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,2,1,1,0,1,0,1,0,1,0,6,9,5,9,3,5,2,8,2,5,2,5,0,2,0,1,2,3,8,6,7
5692,6,27,3,5,4.3,3,6,4.5,26,4,2,1,0,2,2,4,4,4,5,2.5,2.0,2.8,3.0,0,0,0,0,4,4,2,1,1.7,1.7,0.7,0.3,23,2,1,1,2,2,1,1,6,5,5,6,6,5,5,6,6,5,5,6,6,5,5,4,4,2,3,2,3,2,2,1,1,0,1,0,1,0,11,10,2,17,5,8,2,23,8,7,0,15,3,6,0,0,0,0,0,0,26
4921,3,10,4,5,4.7,3,4,3.3,14,2,2,2,1,2,0,4,2,5,3,3.0,1.3,3.3,2.0,0,0,0,0,4,2,5,1,2.0,0.7,1.7,0.3,5,4,0,1,1,1,0,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,7,4,4,7,4,2,2,5,3,3,3,3,1,1,1,0,0,1,0,10,0
6519,4,16,5,9,6.8,3,6,4.0,27,1,0,2,1,2,1,5,4,4,7,3.5,3.0,2.8,3.8,1,1,0,0,5,3,2,1,3.2,2.0,1.2,0.2,9,6,1,0,1,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,10,13,9,13,9,11,8,9,4,7,4,7,4,6,4,1,6,10,25,23,54
7420,7,28,3,6,4.1,3,5,4.0,29,3,2,1,2,0,0,4,4,6,3,2.4,2.6,2.1,1.7,0,0,0,0,4,4,1,1,1.7,2.0,0.1,0.3,18,6,4,0,2,1,4,0,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,4,6,3,1,1,1,1,2,1,1,0,0,0,0,0,15,17,7,16,8,8,3,18,10,9,3,10,5,4,1,2,3,0,3,0,0
9925,3,11,3,5,4.0,3,5,3.7,12,2,1,1,2,0,3,1,4,4,3,1.0,2.7,2.0,3.0,0,0,0,0,1,4,4,1,0.3,1.7,1.3,0.7,9,1,1,0,2,0,1,0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,1,2,1,1,0,0,0,2,1,1,1,1,0,0,0,3,7,2,5,2,2,1,9,2,5,1,4,1,1,0,1,0,0,7,0,7
5476,4,22,3,4,3.5,5,7,5.5,14,2,1,1,2,1,2,3,3,3,3,1.8,2.5,2.0,2.2,1,0,0,0,3,2,2,0,1.8,0.8,1.0,0.0,14,6,1,1,0,3,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2,0,0,0,0,0,0,0,0,10,17,6,11,6,8,3,14,4,11,2,5,2,3,0,0,0,5,0,16,9
4097,4,15,5,5,5.0,2,6,3.8,20,2,0,1,1,1,2,4,4,5,5,2.5,3.0,3.0,3.5,1,1,0,0,2,4,1,2,1.2,3.0,0.2,0.5,10,2,3,0,1,0,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,8,10,6,7,2,5,2,10,4,6,2,5,1,4,1,2,2,1,46,24,0
4535,4,13,3,6,4.5,2,5,3.2,18,2,2,2,0,0,0,3,5,5,5,2.8,2.5,2.2,2.2,0,0,0,0,3,5,5,1,0.8,2.0,1.5,0.2,9,3,1,0,1,2,1,0,4,3,3,3,3,2,2,3,3,2,2,2,2,1,1,1,2,0,2,1,0,0,1,0,1,0,0,0,0,0,6,4,0,7,4,0,0,9,4,3,0,4,2,0,0,1,2,0,14,0,0
9056,4,17,3,5,3.8,4,5,4.2,15,3,1,2,2,1,1,3,4,3,5,2.8,2.5,1.8,2.5,2,0,0,0,3,1,1,0,2.8,0.8,0.2,0.0,10,4,2,1,0,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,6,12,5,7,1,4,1,10,2,7,2,3,0,1,0,0,0,5,0,11,0
2205,4,16,3,4,3.8,2,5,4.0,15,2,1,0,1,1,1,4,3,3,3,2.5,2.0,2.0,2.2,0,0,0,0,4,1,1,1,2.5,0.2,0.8,0.2,10,5,0,1,1,2,0,1,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,1,0,3,2,1,0,1,0,1,0,1,0,1,0,9,8,4,10,6,5,3,10,3,6,2,5,1,3,1,0,0,4,0,20,11
7700,3,12,4,5,4.3,3,5,4.0,13,0,0,1,2,2,1,3,3,3,3,2.0,2.3,2.3,2.0,0,0,0,0,2,3,2,1,1.0,1.7,1.0,0.7,11,1,0,0,2,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,1,2,1,1,0,1,1,0,0,7,6,1,7,4,4,1,11,6,5,0,6,3,3,0,0,1,1,9,5,8
